$VISION;;;;;;;;;
$VERSION:VERSNR;FILETYPE;LANGUAGE;UNIT;;;;;;
39;900346;20;4,734;3;0;0;;;
40;900021;36;3,357;3;0;0;;;
40;900036;21;3,357;3;0;0;;;
41;900021;70;11,531;7;0;0;;;
41;900070;21;11,531;7;0;0;;;
42;900021;301;5,867;4;0;0;;;
42;900301;21;5,867;4;0;0;;;
43;900022;25;3,271;2;0;0;;;
43;900025;22;3,271;2;0;0;;;
44;900023;26;2,325;3;0;0;;;
44;900026;23;2,325;3;0;0;;;
45;900024;30;1,275;2;0;0;;;
45;900030;24;1,275;2;0;0;;;
46;900025;300;3,671;3;0;0;;;
46;900300;25;3,671;3;0;0;;;
47;900027;33;4,571;6;0;0;;;
47;900033;27;4,571;6;0;0;;;
48;900027;283;9,151;11;0;0;;;
48;900283;27;9,151;11;0;0;;;
49;900028;30;1,263;2;0;0;;;
49;900030;28;1,263;2;0;0;;;
50;900031;339;1,861;3;0;0;;;
50;900339;31;1,861;3;0;0;;;
51;900040;68;7,116;9;0;0;;;
51;900068;40;7,116;9;0;0;;;
52;900050;53;2,484;3;0;0;;;
52;900053;50;2,484;3;0;0;;;
53;900053;69;4,785;6;0;0;;;
53;900069;53;4,785;6;0;0;;;
54;900301;302;4,253;3;0;0;;;
54;900302;301;4,253;3;0;0;;;
55;900302;307;1,683;2;0;0;;;
55;900307;302;1,683;2;0;0;;;
56;900303;307;1,894;2;0;0;;;
56;900307;303;1,894;2;0;0;;;
57;900303;346;2,153;2;0;0;;;
57;900346;303;2,153;2;0;0;;;
100000000;900001;2;4,154;5;0;0;;;
100000000;900002;1;4,154;5;0;0;;;
100000001;900001;4;12,216;15;0;0;;;
100000001;900004;1;12,216;15;0;0;;;
100000002;900001;7;1,676;2;0;0;;;
100000002;900007;1;1,676;2;0;0;;;
100000003;900001;9;3,105;4;0;0;;;
100000003;900009;1;3,105;4;0;0;;;
100000004;900001;19;5,618;7;0;0;;;
100000004;900019;1;5,618;7;0;0;;;
100000005;900001;32;8,001;10;0;0;;;
100000005;900032;1;8,001;10;0;0;;;
100000006;900001;34;2,371;3;0;0;;;
100000006;900034;1;2,371;3;0;0;;;
100000007;900001;53;9,602;12;0;0;;;
100000007;900053;1;9,602;12;0;0;;;
100000008;900001;69;4,905;6;0;0;;;
100000008;900069;1;4,905;6;0;0;;;
100000010;900002;4;12,142;15;0;0;;;
100000010;900004;2;12,142;15;0;0;;;
100000011;900002;7;4,121;5;0;0;;;
100000011;900007;2;4,121;5;0;0;;;
100000012;900002;9;4,738;6;0;0;;;
100000012;900009;2;4,738;6;0;0;;;
100000013;900002;19;5,544;7;0;0;;;
100000013;900019;2;5,544;7;0;0;;;
100000014;900002;29;6,597;8;0;0;;;
100000014;900029;2;6,597;8;0;0;;;
100000015;900002;32;6,268;8;0;0;;;
100000015;900032;2;6,268;8;0;0;;;
100000016;900002;34;3,381;5;0;0;;;
100000016;900034;2;3,381;5;0;0;;;
100000017;900003;4;6,434;8;0;0;;;
100000017;900004;3;6,434;8;0;0;;;
100000018;900003;12;12,345;15;0;0;;;
100000018;900012;3;12,345;15;0;0;;;
100000019;900003;15;4,534;6;0;0;;;
100000019;900015;3;4,534;6;0;0;;;
100000020;900003;16;4,605;6;0;0;;;
100000020;900016;3;4,605;6;0;0;;;
100000021;900003;29;9,054;11;0;0;;;
100000021;900029;3;9,054;11;0;0;;;
100000022;900003;32;8,725;11;0;0;;;
100000022;900032;3;8,725;11;0;0;;;
100000026;900004;7;12,182;15;0;0;;;
100000026;900007;4;12,182;15;0;0;;;
100000027;900004;8;10,935;14;0;0;;;
100000027;900008;4;10,935;14;0;0;;;
100000028;900004;9;12,801;16;0;0;;;
100000028;900009;4;12,801;16;0;0;;;
100000029;900004;10;7,392;9;0;0;;;
100000029;900010;4;7,392;9;0;0;;;
100000030;900004;19;13,606;17;0;0;;;
100000030;900019;4;13,606;17;0;0;;;
100000031;900004;23;8,815;11;0;0;;;
100000031;900023;4;8,815;11;0;0;;;
100000032;900004;27;7,446;9;0;0;;;
100000032;900027;4;7,446;9;0;0;;;
100000033;900004;29;12,169;15;0;0;;;
100000033;900029;4;12,169;15;0;0;;;
100000034;900004;34;11,443;14;0;0;;;
100000034;900034;4;11,443;14;0;0;;;
100000035;900006;16;8,843;11;0;0;;;
100000035;900016;6;8,843;11;0;0;;;
100000036;900006;339;4,716;6;0;0;;;
100000036;900339;6;4,716;6;0;0;;;
100000040;900007;9;4,193;6;0;0;;;
100000040;900009;7;4,193;6;0;0;;;
100000041;900007;12;5,885;7;0;0;;;
100000041;900012;7;5,885;7;0;0;;;
100000042;900007;15;12,063;15;0;0;;;
100000042;900015;7;12,063;15;0;0;;;
100000043;900007;19;5,584;7;0;0;;;
100000043;900019;7;5,584;7;0;0;;;
100000044;900007;22;13,889;17;0;0;;;
100000044;900022;7;13,889;17;0;0;;;
100000045;900007;25;6,204;7;0;0;;;
100000045;900025;7;6,204;7;0;0;;;
100000046;900007;32;7,967;10;0;0;;;
100000046;900032;7;7,967;10;0;0;;;
100000047;900007;34;2,836;4;0;0;;;
100000047;900034;7;2,836;4;0;0;;;
100000048;900007;53;10,346;13;0;0;;;
100000048;900053;7;10,346;13;0;0;;;
100000049;900007;69;5,649;7;0;0;;;
100000049;900069;7;5,649;7;0;0;;;
100000050;900007;300;2,817;4;0;0;;;
100000050;900300;7;2,817;4;0;0;;;
100000052;900008;9;2,525;4;0;0;;;
100000052;900009;8;2,525;4;0;0;;;
100000058;900009;19;5,196;7;0;0;;;
100000058;900019;9;5,196;7;0;0;;;
100000059;900009;32;8,585;11;0;0;;;
100000059;900032;9;8,585;11;0;0;;;
100000060;900009;53;12,176;15;0;0;;;
100000060;900053;9;12,176;15;0;0;;;
100000061;900009;69;7,479;9;0;0;;;
100000061;900069;9;7,479;9;0;0;;;
100000062;900009;300;5,143;7;0;0;;;
100000062;900300;9;5,143;7;0;0;;;
100000064;900010;27;13,261;16;0;0;;;
100000064;900027;10;13,261;16;0;0;;;
100000065;900010;33;9,697;12;0;0;;;
100000065;900033;10;9,697;12;0;0;;;
100000066;900011;68;8,205;10;0;0;;;
100000066;900068;11;8,205;10;0;0;;;
100000069;900012;15;9,772;12;0;0;;;
100000069;900015;12;9,772;12;0;0;;;
100000070;900012;25;4,841;5;0;0;;;
100000070;900025;12;4,841;5;0;0;;;
100000071;900012;300;6,724;8;0;0;;;
100000071;900300;12;6,724;8;0;0;;;
100000072;900013;20;17,324;21;0;0;;;
100000072;900020;13;17,324;21;0;0;;;
100000073;900013;22;18,429;22;0;0;;;
100000073;900022;13;18,429;22;0;0;;;
100000079;900017;27;9,839;12;0;0;;;
100000079;900027;17;9,839;12;0;0;;;
100000080;900017;305;22,961;19;0;0;;;
100000080;900305;17;22,961;19;0;0;;;
100000086;900019;32;9,391;12;0;0;;;
100000086;900032;19;9,391;12;0;0;;;
100000087;900019;34;3,839;5;0;0;;;
100000087;900034;19;3,839;5;0;0;;;
100000089;900020;70;18,272;22;0;0;;;
100000089;900070;20;18,272;22;0;0;;;
100000092;900022;53;7,161;9;0;0;;;
100000092;900053;22;7,161;9;0;0;;;
100000093;900022;69;8,328;10;0;0;;;
100000093;900069;22;8,328;10;0;0;;;
100000094;900022;300;9,591;12;0;0;;;
100000094;900300;22;9,591;12;0;0;;;
100000095;900022;346;12,151;15;0;0;;;
100000095;900346;22;12,151;15;0;0;;;
100000097;900023;32;4,601;6;0;0;;;
100000097;900032;23;4,601;6;0;0;;;
100000100;900025;53;10,737;12;0;0;;;
100000100;900053;25;10,737;12;0;0;;;
100000101;900026;375;19,751;24;0;0;;;
100000101;900375;26;19,751;24;0;0;;;
100000105;900027;28;13,904;17;0;0;;;
100000105;900028;27;13,904;17;0;0;;;
100000106;900027;305;23,773;20;0;0;;;
100000106;900305;27;23,773;20;0;0;;;
100000108;900028;33;11,635;14;0;0;;;
100000108;900033;28;11,635;14;0;0;;;
100000109;900028;40;19,381;24;0;0;;;
100000109;900040;28;19,381;24;0;0;;;
100000113;900029;32;7,606;10;0;0;;;
100000113;900032;29;7,606;10;0;0;;;
100000122;900032;34;7,228;9;0;0;;;
100000122;900034;32;7,228;9;0;0;;;
100000131;900034;53;11,441;14;0;0;;;
100000131;900053;34;11,441;14;0;0;;;
100000132;900034;69;6,744;9;0;0;;;
100000132;900069;34;6,744;9;0;0;;;
100000133;900034;300;4,408;6;0;0;;;
100000133;900300;34;4,408;6;0;0;;;
100000135;900050;70;12,889;16;0;0;;;
100000135;900070;50;12,889;16;0;0;;;
100000136;900050;303;9,227;11;0;0;;;
100000136;900303;50;9,227;11;0;0;;;
100000137;900050;346;7,158;9;0;0;;;
100000137;900346;50;7,158;9;0;0;;;
100000144;900053;300;6,553;8;0;0;;;
100000144;900300;53;6,553;8;0;0;;;
100000146;900068;69;6,878;9;0;0;;;
100000146;900069;68;6,878;9;0;0;;;
100000147;900068;70;22,321;27;0;0;;;
100000147;900070;68;22,321;27;0;0;;;
100000154;900069;70;15,486;19;0;0;;;
100000154;900070;69;15,486;19;0;0;;;
100000155;900069;300;5,594;7;0;0;;;
100000155;900300;69;5,594;7;0;0;;;
100000160;900283;305;17,423;13;0;0;;;
100000160;900305;283;17,423;13;0;0;;;
100000172;900308;375;17,866;22;0;0;;;
100000172;900375;308;17,866;22;0;0;;;
